DATE,PS,WS10M,QV2M,T2M
1/1/1981,87.46,1.7,4.7,11.12
1/2/1981,87.53,1.48,4.88,11.19
1/3/1981,87.49,1.7,5.31,11.3
1/4/1981,87.42,1.91,5.43,10.34
1/5/1981,87.42,1.81,5.19,10.1
1/6/1981,87.34,1.71,5.19,10.18
1/7/1981,87.37,1.55,5.8,7.2
1/8/1981,87.44,1.61,4.76,7.9
1/9/1981,87.73,1.6,4.21,7.98
1/10/1981,87.9,1.43,3.91,8.98
1/11/1981,87.97,1.32,3.66,7.9
1/12/1981,88.07,1.2,5.25,7.89
1/13/1981,87.91,1.34,6.04,8.44
1/14/1981,87.84,1.79,4.82,9.4
1/15/1981,87.97,1.66,3.78,10.6
1/16/1981,88.08,1.55,3.78,12.26
1/17/1981,88.04,1.55,4.03,13.68
1/18/1981,87.73,1.5,4.03,12.48
1/19/1981,87.55,1.69,4.88,10.52
1/20/1981,87.68,2.08,4.7,10.93
1/21/1981,87.65,1.64,4.76,10.78
1/22/1981,87.48,1.98,5.07,10.11
1/23/1981,87.49,1.62,4.94,9.98
1/24/1981,87.64,2.45,5.55,8.06
1/25/1981,87.81,1.42,6.41,9.02
1/26/1981,88,1.88,4.21,9.75
1/27/1981,87.88,2.03,3.91,10.11
1/28/1981,87.85,1.88,4.39,10.44
1/29/1981,87.52,1.95,5.31,11.48
1/30/1981,87.44,1.49,6.16,11.02
1/31/1981,87.61,2.09,5.43,9.9
2/1/1981,87.68,1.81,5.49,10.55
2/2/1981,87.69,2.08,4.76,9.9
2/3/1981,87.74,1.99,4.46,10.08
2/4/1981,87.66,1.93,4.7,11.47
2/5/1981,87.76,2.24,5,14.08
2/6/1981,87.87,3.09,5.55,14.61
2/7/1981,87.62,2.68,5.43,13.27
2/8/1981,87.47,2.03,4.52,12.76
2/9/1981,87.55,2.45,3.78,11.52
2/10/1981,87.42,2.2,4.03,10.46
2/11/1981,87.27,2.54,4.58,9.4
2/12/1981,87.29,2.23,4.39,11.2
2/13/1981,87.37,1.93,4.64,11.42
2/14/1981,87.39,2.02,4.7,12.83
2/15/1981,87.32,2.53,4.27,14.49
2/16/1981,87.46,2.77,4.09,14.76
2/17/1981,87.46,2.17,3.85,14.55
2/18/1981,87.36,1.62,3.91,14.71
2/19/1981,87.51,1.98,4.15,14.76
2/20/1981,87.51,1.97,4.27,15.53
2/21/1981,87.43,2.26,4.09,14.97
2/22/1981,87.41,2.07,3.97,15.12
2/23/1981,87.59,2.06,4.15,15.69
2/24/1981,87.58,2.59,4.52,16.68
2/25/1981,87.55,3.08,4.76,16.8
